s1,s2,score
The Browns Blow a 13 Point Lead with 1:33 Left to the Jets and Elite Dragon,Cleveland gives up a two score lead to NYJ with 90 seconds on the clock,1.0
NBA star Tony Snell speaks out for 1st time on autism diagnosis: 'I am the way I am',Roger shows that austism didn't affect his career.,0.2
Saquon Barkley reportedly may sit out all of training camp if he and the Giants are unable to reach an agreement on a long-term contract by the July 17 deadline.,Players are demanding more and more in their contracts,0.3333333333
[Highlight] Aaron Gordon's foul on Jimmy Butler stands leaving everyone shocked,Obvious foul on Aaron Gordon ,0.3333333333
[Highlight] Derrick Henry takes off for a 94 yard TD vs Texans,King Henry runs nearly the length of the field and scores 6 against Houston,1.0
"[Highlight] Kamara has an all time performance, scoring 6 TDs against the Vikings, leading the Saints to a win","Alvin Kamara writes history with a six touchdowns for New Orleans, helping them defeat Minnesota.",1.0
The Browns Blow a 13 Point Lead with 1:33 Left to the Jets and Elite Dragon,The Jets are just not a good football team ,0.2666666667
“They had four years” - Karl Anthony Towns believes Timberwolves' run to the first round was more impressive than Nuggets’ championship triumph,Towns believes the T-Wolves' success in the opening round of the NBA playoffs deserves more respect than the Nugs lifting the Larry O'Brien,1.0
Cowboys recover onside kick and complete big comeback (2020),A good kicker can make all the difference for a football game.,0.2666666667
Jets upset the 14-2 Patriots led by Unanimous MVP Tom Brady in the Divisional Round,NYJ get a shocking victory against a division rival.,0.6666666667
"Michael Malone on media’s coverage of the Lakers and if the Nuggets will get respect now: “Speaking of the Lakers, I just want you guys to know, this is breaking news…I’m thinking about retiring”",NBA Champion Michael Malone dissatisified with the disproportionate media coverage recieved by the LA Lakers.,0.7333333333
BREAKING: Michael Jordan is finalizing a sale of the Charlotte Hornets,MJ is close to selling his stake in the Hornets.,0.8666666667
[Denver Nuggets] YOUR DENVER NUGGETS ARE THE 2023 NBA CHAMPIONS,Denver is a really solid team this year!,0.4666666667
[Highlight] Farve decides to not take a knee and try a 56 yard field goal.,"In football, taking a knee stops the clock.",0.2
Jets upset the 14-2 Patriots led by Unanimous MVP Tom Brady in the Divisional Round,"New York, the underdogs, beat TB12 and a 2-loss New England team in the first round of the NFL playoffs",1.0
“They had four years” - Karl Anthony Towns believes Timberwolves' run to the first round was more impressive than Nuggets’ championship triumph,T Wolves star very impressed by Jokic and the Nuggets' playoff run.,0.3333333333
Saints' Taysom Hill working toward expanded role as receiver in 2023,The New Orleans QB Hill may play more snaps as a receiver next season.,0.8666666667
[Highlight] Aaron Gordon's foul on Jimmy Butler stands leaving everyone shocked,Controversial foul by AG on Butler leaves Nuggets fans shocked.,0.9333333333
Cowboys recover onside kick and complete big comeback (2020),Dallas gets the ball and wins the game.,0.6666666667
[Highlight] Derrick Henry takes off for a 94 yard TD vs Texans,Titans RB Derrick Henry rips off a huge play and takes it to the house ,0.8666666667
[Highlight] Derrick Henry takes off for a 94 yard TD vs Texans,The Titans don't have the dominant run game that the Texans have,0.3333333333
NBA star Tony Snell speaks out for 1st time on autism diagnosis: 'I am the way I am',Tony Snell unapologetic of his ASD diagnosis.,0.6666666667
[Wojnarowski] The NBA has suspended Memphis Grizzlies star Ja Morant 25 games to start the 2023-2024 season.,Adam Silver has handed Ja Morant a suspension that will last more than a quarter of the 2023-2024 NBA season.,1.0
