s1,s2,score
Ron DeSantis praised Anthony Fauci for Covid response in spring 2020 for ‘really doing a good job’,The florida govenor has surprisingly positive comments about Dr. Fauci,0.8
Margo Martin's laptop could hold treasure trove of Donald Trump recordings,Damning information about Trump may be hidden on Martin's macbook,0.8666666667
Supreme Court Guts Clean Water Act as Conservative Justices Side with Polluters and Developers,"The Supreme court, in unanimous fashion, makes pollution illegal once and for all! ",0.3333333333
"How California, land of Nixon and Reagan, turned blue and changed American politics",California was a red state once upon a time! ,0.6
Leaked recording shows DeSantis supporters worried about abortion ban,Those who support the florida govenor are pro abortion,0.4666666667
Ohio GOP lawmakers want to make guns cheaper by exempting them from sales tax,cheap guns are seeing higher government restrictions from Ohio lawmakers ,0.2666666667
Oklahoma Supreme Court Rules Abortion Laws Unconstitutional,The supreme court of Oklahoma are in support of abortion. ,0.4666666667
Lauren Boebert refuses to explain her absence from debt ceiling vote,The colorado representative declines to elaborate on her abstination from the debt ceiling vote. ,1.0
Supreme Court Guts Clean Water Act as Conservative Justices Side with Polluters and Developers,SCOTUS kills clean water act ,1.0
Attorney General Ken Paxton is now suspended without pay after impeachment,The AG is finally gone! I've been waiting for them to axe paxton ,0.7333333333
Elon Musk pledges to lobby for criminalizing healthcare interventions for transgender youth,Elon Music is against transgender surgey being legal for those under 18 ,0.8
Trump campaign uses Pete Buttigieg’s picture to mock veterans over Memorial Day weekend,trump hates buttigieg ,0.4666666667
Supreme Court Guts Clean Water Act as Conservative Justices Side with Polluters and Developers,SCOTUS hasn't made environmentally friendly decisions in recent years  ,0.4666666667
"When 3 Men Richer Than 165 Million People, Sanders Says Working Class Must 'Come Together'",The working class controls very little wealth in this country ,0.6666666667
"Senate passes debt limit bill with 63-36 vote, allowing U.S. to avoid default.",The senate thankfully was able to get around 2/3's of the vote. Looks like the US won't default. ,0.8
Ron DeSantis praised Anthony Fauci for Covid response in spring 2020 for ‘really doing a good job’,"Rob Desantis, known Fauci hater, goes off on fauci this morning on Fox News regarding his COVID policy ",0.2666666667
Pentagon buying Starlink dishes for Ukraine after funding dispute with SpaceX,The ukranian govt will be receiving starlink dishes from the US ,0.8
Ohio GOP lawmakers want to make guns cheaper by exempting them from sales tax,"Gun laws are changing in Ohio, and theyre changing fast ",0.4
"How California, land of Nixon and Reagan, turned blue and changed American politics",California is an important state in US politics ,0.2666666667
"Student Debt Provision in Biden-GOP Deal Could Be 'Catastrophic,' Campaigners Warn",Biden aims to help students in debt ,0.4
Antisemitism is surging across US. Biden just took a historic step to fight it.,joe biden just took a historic step to fight climate change ,0.2
Leaked recording shows DeSantis supporters worried about abortion ban,Governor DeSantis pledges to ban abortion in Florida.,0.4666666667
Margo Martin's laptop could hold treasure trove of Donald Trump recordings,Trump and Martin seen at a local cafe last wednesday ,0.1333333333
74 Percent of Voters Support Raising Federal Minimum Wage to $20 an Hour,50% Percent of Voters Support Raising Federal Minimum Wage to $24 an Hour,0.6
The Texas House has voted to impeach Texas Attorney General Paxton by a vote of 121-23,Attorney General Ken Paxton has officially been promoted! ,0.2666666667
"When 3 Men Richer Than 165 Million People, Sanders Says Working Class Must 'Come Together'",Bernie Sanders is upset that so few people control so much of the wealth in this country ,0.8
Governors Kathy Hochul & Phil Murphy join 8 other governors in opposing school textbook censorship,The New Jersey and New York govenors are teaming up for a landmark education bill,0.6666666667
74 Percent of Voters Support Raising Federal Minimum Wage to $20 an Hour,Most voters feel the minumum wage is too low! ,0.8
Ohio GOP lawmakers want to make guns cheaper by exempting them from sales tax,NO MORE TAX ON GUN SALES ,0.6666666667
74 Percent of Voters Support Raising Federal Minimum Wage to $20 an Hour,The federal minimum wage has been stable for many years ,0.3333333333
Trump campaign uses Pete Buttigieg’s picture to mock veterans over Memorial Day weekend,make sure to bring your sunscreen! This memorial day weekend is going to be hot! ,0.0
Lauren Boebert refuses to explain her absence from debt ceiling vote,Lauren boebart has declined to speak,0.6666666667
Antisemitism is surging across US. Biden just took a historic step to fight it.,Joe Biden makes progress in the fight against jewish hate speech,0.8666666667
Attorney General Ken Paxton is now suspended without pay after impeachment,Attorney General Ken Paxton is known to be a fan of speed chess ,0.1333333333
Trump campaign uses Pete Buttigieg’s picture to mock veterans over Memorial Day weekend,Pete buttigeg meme employed by trump to mock the military ,0.8
"Student Debt Provision in Biden-GOP Deal Could Be 'Catastrophic,' Campaigners Warn",the biden-gop deal is taking longer than expected to be signed. ,0.2666666667
Margo Martin's laptop could hold treasure trove of Donald Trump recordings,Donald trump might be in trouble thanks to margo martin ,0.6666666667
Pentagon buying Starlink dishes for Ukraine after funding dispute with SpaceX,Ukraine has lost access to the internet ,0.2666666667
"When 3 Men Richer Than 165 Million People, Sanders Says Working Class Must 'Come Together'",Bernie Sanders is known for wearing homemade mittens,0.0
"Senate passes debt limit bill with 63-36 vote, allowing U.S. to avoid default.",Senate fails to pass debt limit bill with 36-63 vote. Default incoming. ,0.3333333333
Attorney General Ken Paxton is now suspended without pay after impeachment,Ken Paxton is looking for a new job as he will no longer be Attorney General ,0.7333333333
Leaked recording shows DeSantis supporters worried about abortion ban,The florida govenor's supports are concerned about this new law ,0.6666666667
Independent Sen. Krysten Sinema continues using liberal platforms to fundraise for 2024 reelection campaign,Independent Sen. Krysten Sinema continues using alt-right platforms to fundraise for 2024 reelection campaign,0.3333333333
The Texas House has voted to impeach Texas Attorney General Paxton by a vote of 121-23,Texas House Impeaches Texas Attorney General Paxton,0.8666666667
Lauren Boebert refuses to explain her absence from debt ceiling vote,"Lauren Boebert, who is very proud of debt ceiling vote, took many questions ",0.3333333333
"Student Debt Provision in Biden-GOP Deal Could Be 'Catastrophic,' Campaigners Warn",student debt is at an all-time high ,0.2666666667
Utah primary schools ban Bible for 'vulgarity and violence',The state which is widely known to be quite religious has BANNED the bible. ,0.8
